"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","MLT","Malta","2017","2017",274,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","MLT","Malta","2018","2018",229,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","MLT","Malta","2019","2019",626,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","MLT","Malta","2020","2020",1015,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","MLT","Malta","2021","2021",1431,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","MLT","Malta","2022","2022",1988,"+","National Estimation"
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","ERI","Eritrea","2017","2017",111997,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","ERI","Eritrea","2018","2018",112609,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","ERI","Eritrea","2019","2019",115626,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","MNG","Mongolia","2017","2017",7236,"‡","UIS Estimation"
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","MNG","Mongolia","2018","2018",5785,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","MNG","Mongolia","2019","2019",7751,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","MNG","Mongolia","2020","2020",10161,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","MNG","Mongolia","2021","2021",11556,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","MNG","Mongolia","2022","2022",11786,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","PER","Peru","2017","2017",75106,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","PER","Peru","2018","2018",71776,,
"OFST_1_M_CP","Out-of-school children of primary school age, male (number)","PER","Peru","2019","2019",32743,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","NLD","Netherlands","2017","2017",2274,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","NLD","Netherlands","2018","2018",2928,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","NLD","Netherlands","2019","2019",1416,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","NLD","Netherlands","2020","2020",1937,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","NLD","Netherlands","2021","2021",2114,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","LCA","Saint Lucia","2017","2017",1084,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","LCA","Saint Lucia","2018","2018",961,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","LCA","Saint Lucia","2019","2019",798,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","LCA","Saint Lucia","2020","2020",769,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","LCA","Saint Lucia","2021","2021",549,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","LCA","Saint Lucia","2022","2022",311,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","DMA","Dominica","2019","2019",479,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","DMA","Dominica","2020","2020",380,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","DMA","Dominica","2021","2021",403,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","DMA","Dominica","2022","2022",383,,
"OFST_1_F_CP","Out-of-school children of primary school age, female (number)","VEN","Venezuela (Bolivarian Republic of)","2017","2017",209373,,
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","AZE","Azerbaijan","2017","2017",12166,"‡","UIS Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","AZE","Azerbaijan","2018","2018",24803,"+","National Estimation"
"OFST_1_CP","Out-of-school children of primary school age, both sexes (number)","AZE","Azerbaijan","2019","2019",55687,"+","National Estimation"
