"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"X_USCONST_02_FSGOV","Government expenditure on pre-primary education, constant US$ (millions)","GRC","Greece","2017","2017",538.50359,,
"X_USCONST_02_FSGOV","Government expenditure on pre-primary education, constant US$ (millions)","GRC","Greece","2018","2018",557.72537,,
"X_USCONST_02_FSGOV","Government expenditure on pre-primary education, constant US$ (millions)","GRC","Greece","2019","2019",588.75234,,
"X_USCONST_2_FSGOV","Government expenditure on lower secondary education, constant US$ (millions)","IND","India","2017","2017",14367.64709,,
"X_USCONST_2_FSGOV","Government expenditure on lower secondary education, constant US$ (millions)","IND","India","2018","2018",15425.2827,,
"X_USCONST_2_FSGOV","Government expenditure on lower secondary education, constant US$ (millions)","IND","India","2019","2019",13762.01406,,
"X_USCONST_2_FSGOV","Government expenditure on lower secondary education, constant US$ (millions)","IND","India","2020","2020",16542.95541,,
"X_USCONST_2_FSGOV","Government expenditure on lower secondary education, constant US$ (millions)","IND","India","2021","2021",18601.62876,,
"X_USCONST_FSGOV","Government expenditure on education, constant US$ (millions)","LUX","Luxembourg","2017","2017",2760.72624,,
"X_USCONST_FSGOV","Government expenditure on education, constant US$ (millions)","LUX","Luxembourg","2018","2018",2935.16981,,
"X_USCONST_FSGOV","Government expenditure on education, constant US$ (millions)","LUX","Luxembourg","2019","2019",3066.76092,,
"X_USCONST_FSGOV","Government expenditure on education, constant US$ (millions)","LUX","Luxembourg","2020","2020",3122.5957,,
"X_USCONST_3_FSGOV","Government expenditure on upper secondary education, constant US$ (millions)","GIN","Guinea","2017","2017",33.16873,,
"X_USCONST_3_FSGOV","Government expenditure on upper secondary education, constant US$ (millions)","GIN","Guinea","2018","2018",32.70071,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","FIN","Finland","2017","2017",2683.03806,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","FIN","Finland","2018","2018",2615.66906,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","FIN","Finland","2019","2019",2648.45441,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","FIN","Finland","2020","2020",2681.57621,,
"X_USCONST_3_FSGOV","Government expenditure on upper secondary education, constant US$ (millions)","ECU","Ecuador","2018","2018",295.72191,,
"X_USCONST_3_FSGOV","Government expenditure on upper secondary education, constant US$ (millions)","ECU","Ecuador","2019","2019",289.73284,,
"X_USCONST_3_FSGOV","Government expenditure on upper secondary education, constant US$ (millions)","ECU","Ecuador","2020","2020",265.55493,,
"X_USCONST_3_FSGOV","Government expenditure on upper secondary education, constant US$ (millions)","ECU","Ecuador","2021","2021",249.64568,,
"X_USCONST_3_FSGOV","Government expenditure on upper secondary education, constant US$ (millions)","ECU","Ecuador","2022","2022",254.24752,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","PER","Peru","2018","2018",16.59733,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","PER","Peru","2019","2019",11.75337,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","PER","Peru","2020","2020",15.18422,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","PER","Peru","2021","2021",17.98381,,
"X_USCONST_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, constant US$ (millions)","PER","Peru","2022","2022",18.20391,,
"X_USCONST_2T3_FSGOV","Government expenditure on secondary education, constant US$ (millions)","TTO","Trinidad and Tobago","2020","2020",291.5074,,
"X_USCONST_2T3_FSGOV","Government expenditure on secondary education, constant US$ (millions)","TTO","Trinidad and Tobago","2021","2021",191.36286,,
"X_USCONST_UK_FSGOV","Government expenditure on education not specified by level, constant US$ (millions)","COL","Colombia","2017","2017",,"n","Magnitude nil or negligible"
"X_USCONST_UK_FSGOV","Government expenditure on education not specified by level, constant US$ (millions)","COL","Colombia","2018","2018",24.83765,,
"X_USCONST_UK_FSGOV","Government expenditure on education not specified by level, constant US$ (millions)","COL","Colombia","2019","2019",25.33616,,
"X_USCONST_UK_FSGOV","Government expenditure on education not specified by level, constant US$ (millions)","COL","Colombia","2020","2020",25.04106,,
"X_USCONST_1_FSGOV","Government expenditure on primary education, constant US$ (millions)","TUR","Türkiye","2017","2017",4950.27301,,
"X_USCONST_1_FSGOV","Government expenditure on primary education, constant US$ (millions)","TUR","Türkiye","2018","2018",5176.89229,,
"X_USCONST_1_FSGOV","Government expenditure on primary education, constant US$ (millions)","TUR","Türkiye","2019","2019",6013.43703,,
"X_USCONST_1_FSGOV","Government expenditure on primary education, constant US$ (millions)","TUR","Türkiye","2020","2020",5562.01555,,
"X_USCONST_2T3_FSGOV","Government expenditure on secondary education, constant US$ (millions)","SEN","Senegal","2018","2018",199.45594,,
"X_USCONST_5T8_FSGOV","Government expenditure on tertiary education, constant US$ (millions)","ITA","Italy","2017","2017",16092.01155,,
"X_USCONST_5T8_FSGOV","Government expenditure on tertiary education, constant US$ (millions)","ITA","Italy","2018","2018",16729.71514,,
"X_USCONST_5T8_FSGOV","Government expenditure on tertiary education, constant US$ (millions)","ITA","Italy","2019","2019",16879.66678,,
"X_USCONST_5T8_FSGOV","Government expenditure on tertiary education, constant US$ (millions)","ITA","Italy","2020","2020",17321.90766,,
"X_USCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant US$ (millions)","NLD","Netherlands","2017","2017",,"n","Magnitude nil or negligible"
"X_USCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant US$ (millions)","NLD","Netherlands","2018","2018",,"n","Magnitude nil or negligible"
"X_USCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant US$ (millions)","NLD","Netherlands","2019","2019",,"n","Magnitude nil or negligible"
"X_USCONST_4_FSGOV","Government expenditure on post-secondary non-tertiary education, constant US$ (millions)","NLD","Netherlands","2020","2020",,"a","Category not applicable"
"X_USCONST_2T3_FSGOV","Government expenditure on secondary education, constant US$ (millions)","SWE","Sweden","2017","2017",12609.15549,,
"X_USCONST_2T3_FSGOV","Government expenditure on secondary education, constant US$ (millions)","SWE","Sweden","2018","2018",13295.78187,,
"X_USCONST_2T3_FSGOV","Government expenditure on secondary education, constant US$ (millions)","SWE","Sweden","2019","2019",13388.62979,,
"X_USCONST_2T3_FSGOV","Government expenditure on secondary education, constant US$ (millions)","SWE","Sweden","2020","2020",13632.33478,,
"X_USCONST_UK_FSGOV","Government expenditure on education not specified by level, constant US$ (millions)","IRN","Iran (Islamic Republic of)","2017","2017",,"n","Magnitude nil or negligible"
"X_USCONST_UK_FSGOV","Government expenditure on education not specified by level, constant US$ (millions)","IRN","Iran (Islamic Republic of)","2018","2018",,"n","Magnitude nil or negligible"
"X_USCONST_UK_FSGOV","Government expenditure on education not specified by level, constant US$ (millions)","IRN","Iran (Islamic Republic of)","2019","2019",,"n","Magnitude nil or negligible"
"X_USCONST_UK_FSGOV","Government expenditure on education not specified by level, constant US$ (millions)","IRN","Iran (Islamic Republic of)","2020","2020",,"n","Magnitude nil or negligible"
