"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","PAN","Panama","2018","2018",1167,,
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","PAN","Panama","2019","2019",452,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","BHR","Bahrain","2022","2022",766,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","GIN","Guinea","2018","2018",399424,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","GIN","Guinea","2021","2021",400571,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ITA","Italy","2019","2019",5299,"‡","UIS Estimation"
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","TUN","Tunisia","2019","2019",20547,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","LSO","Lesotho","2022","2022",35935,"‡","UIS Estimation"
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","BRA","Brazil","2017","2017",57255,"+","National Estimation"
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","BRA","Brazil","2018","2018",63834,"+","National Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","THA","Thailand","2018","2018",62563,"+","National Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","THA","Thailand","2021","2021",37902,"‡","UIS Estimation"
"ILLPOP_AG15T24_RUR_M","Illiterate youth population, 15-24 years, rural, male (number)","KWT","Kuwait","2017","2017",2199,,
"ILLPOP_AG15T24_RUR_M","Illiterate youth population, 15-24 years, rural, male (number)","KWT","Kuwait","2018","2018",2987,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","ROU","Romania","2021","2021",616,"+","National Estimation"
"ILLPOP_AG15T24_RUR_F","Illiterate youth population, 15-24 years, rural, female (number)","MOZ","Mozambique","2017","2017",830012,,
"ILLPOP_AG15T24_RUR_F","Illiterate youth population, 15-24 years, rural, female (number)","MOZ","Mozambique","2020","2020",931028,,
"ILLPOP_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, both sexes (number)","PSE","Palestine","2017","2017",1603,,
"ILLPOP_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, both sexes (number)","PSE","Palestine","2018","2018",1734,,
"ILLPOP_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, both sexes (number)","PSE","Palestine","2019","2019",1122,,
"ILLPOP_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, both sexes (number)","PSE","Palestine","2020","2020",1239,,
"ILLPOP_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, both sexes (number)","PSE","Palestine","2022","2022",822,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Central and Southern Asia","2017","2017",22653942,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Central and Southern Asia","2018","2018",23181659,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Central and Southern Asia","2019","2019",19086347,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Central and Southern Asia","2020","2020",17960566,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Central and Southern Asia","2021","2021",16784151,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40618","Central and Southern Asia","2022","2022",15543276,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2017","2017",767413,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2018","2018",728604,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2019","2019",707462,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2020","2020",703146,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2021","2021",667900,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40630","Latin America and the Caribbean","2022","2022",645262,,
"ILLPOP_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, both sexes (number)","CHL","Chile","2017","2017",4069,"+","National Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MDG","Madagascar","2018","2018",530142,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MDG","Madagascar","2022","2022",570886,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2017","2017",23919213,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2018","2018",24573316,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2019","2019",24140455,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2020","2020",24441780,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2021","2021",24353618,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","40334","Least Developed Countries","2022","2022",24279655,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BFA","Burkina Faso","2018","2018",716414,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BFA","Burkina Faso","2019","2019",999005,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BFA","Burkina Faso","2022","2022",1004893,"‡","UIS Estimation"
"ILLPOP_AG15T24_RUR_F","Illiterate youth population, 15-24 years, rural, female (number)","CHN","China","2020","2020",110641,,
"ILLPOP_AG15T24_RUR","Illiterate youth population, 15-24 years, rural, both sexes (number)","SYR","Syrian Arab Republic","2021","2021",35008,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","AFG","Afghanistan","2021","2021",1268414,,
"ILLPOP_AG15T24_RUR_M","Illiterate youth population, 15-24 years, rural, male (number)","ARM","Armenia","2017","2017",251,,
"ILLPOP_AG15T24_RUR_M","Illiterate youth population, 15-24 years, rural, male (number)","ARM","Armenia","2020","2020",175,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","GTM","Guatemala","2018","2018",108661,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","GTM","Guatemala","2022","2022",75528,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","HND","Honduras","2018","2018",18168,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","HND","Honduras","2019","2019",27448,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PAK","Pakistan","2017","2017",4187727,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PAK","Pakistan","2018","2018",4567967,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","PAK","Pakistan","2019","2019",4643765,,
"ILLPOP_AG15T24_RUR_M","Illiterate youth population, 15-24 years, rural, male (number)","URY","Uruguay","2017","2017",165,"+","National Estimation"
"ILLPOP_AG15T24_RUR_M","Illiterate youth population, 15-24 years, rural, male (number)","URY","Uruguay","2018","2018",78,"+","National Estimation"
"ILLPOP_AG15T24_RUR_M","Illiterate youth population, 15-24 years, rural, male (number)","URY","Uruguay","2019","2019",185,"+","National Estimation"
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","SLV","El Salvador","2017","2017",4780,,
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","SLV","El Salvador","2018","2018",5536,,
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","SLV","El Salvador","2019","2019",3942,,
"ILLPOP_AG15T24_URB_F","Illiterate youth population, 15-24 years, urban, female (number)","SLV","El Salvador","2020","2020",4144,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","HRV","Croatia","2021","2021",555,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","UGA","Uganda","2018","2018",500958,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","UGA","Uganda","2022","2022",479271,"‡","UIS Estimation"
"ILLPOP_AG15T24_RUR_F","Illiterate youth population, 15-24 years, rural, female (number)","IDN","Indonesia","2018","2018",56716,,
"ILLPOP_AG15T24_RUR_F","Illiterate youth population, 15-24 years, rural, female (number)","IDN","Indonesia","2020","2020",41742,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","DZA","Algeria","2018","2018",81670,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","MNG","Mongolia","2020","2020",1738,,
"ILLPOP_AG15T24_RUR_F","Illiterate youth population, 15-24 years, rural, female (number)","PAN","Panama","2018","2018",2593,,
