"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MYS","Malaysia","2017","2017",93.38603,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MYS","Malaysia","2018","2018",91.71325,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MYS","Malaysia","2019","2019",98.80791,,
"SR_1_GLAST_F_CP","Survival rate to the last grade of primary education, female (%)","MYS","Malaysia","2020","2020",97.59411,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HND","Honduras","2019","2019",81.42068,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HND","Honduras","2020","2020",77.48489,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","HND","Honduras","2021","2021",93.62562,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2017","2017",96.21887,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2018","2018",94.61476,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2019","2019",95.45147,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","MUS","Mauritius","2020","2020",95.59995,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","PHL","Philippines","2018","2018",99.40298,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","PHL","Philippines","2019","2019",98.52199,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2017","2017",99.67279,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2018","2018",99.6191,,
"SR_1_G4_CP","Survival rate to Grade 4 of primary education, both sexes (%)","POL","Poland","2021","2021",99.91172,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2018","2018",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2019","2019",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2020","2020",,"a","Category not applicable"
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","OMN","Oman","2021","2021",,"a","Category not applicable"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZAF","South Africa","2017","2017",87.31864,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZAF","South Africa","2018","2018",93.97079,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZAF","South Africa","2019","2019",95.84019,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","ZAF","South Africa","2020","2020",93.81439,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2017","2017",98.34723,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2018","2018",89.25928,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2019","2019",94.65777,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2020","2020",95.01739,,
"SR_1_G5_CP","Survival rate to Grade 5 of primary education, both sexes (%)","MKD","North Macedonia","2021","2021",93.88826,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2017","2017",55.88633,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2018","2018",56.63295,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2019","2019",57.5489,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40606","Sub-Saharan Africa","2020","2020",58.95103,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MNE","Montenegro","2017","2017",99.12072,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MNE","Montenegro","2019","2019",98.33484,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MNE","Montenegro","2020","2020",98.22735,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","MNE","Montenegro","2021","2021",99.00283,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2017","2017",99.17728,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2018","2018",99.16993,,
"SR_1_GLAST_CP","Survival rate to the last grade of primary education, both sexes (%)","KAZ","Kazakhstan","2019","2019",97.14414,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2017","2017",97.90368,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2018","2018",95.25848,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2020","2020",94.54507,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","DZA","Algeria","2021","2021",96.15646,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","URY","Uruguay","2019","2019",98.76949,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","URY","Uruguay","2020","2020",98.26135,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2017","2017",99.85105,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2018","2018",99.86367,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2019","2019",99.83115,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2020","2020",99.90195,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","SVN","Slovenia","2021","2021",99.76732,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2017","2017",98.61084,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2018","2018",98.85404,,
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2019","2019",98.74287,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2020","2020",98.99212,"‡","UIS Estimation"
"SR_1_GLAST_M_CP","Survival rate to the last grade of primary education, male (%)","40530","Central and Eastern Europe","2021","2021",99.05415,"‡","UIS Estimation"
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2017","2017",84.69029,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2018","2018",74.10143,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2019","2019",73.20882,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2020","2020",79.61806,,
"SR_1_G5_F_CP","Survival rate to Grade 5 of primary education, female (%)","BFA","Burkina Faso","2021","2021",65.15382,,
"SR_1_G4_F_CP","Survival rate to Grade 4 of primary education, female (%)","ATG","Antigua and Barbuda","2017","2017",98.44848,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","GHA","Ghana","2017","2017",85.9753,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","GHA","Ghana","2021","2021",95.54112,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2017","2017",100,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2018","2018",99.23965,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2019","2019",95.9654,,
"SR_1_G4_M_CP","Survival rate to Grade 4 of primary education, male (%)","CYP","Cyprus","2020","2020",100,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2017","2017",96.15703,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2018","2018",96.49942,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2019","2019",95.98802,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2020","2020",96.8825,,
"SR_1_G5_M_CP","Survival rate to Grade 5 of primary education, male (%)","CUB","Cuba","2021","2021",94.55533,,
